"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"114",344,"button down shirt"," boys button french long shirt sleeve toast uniform white"," boy button can classic dress ensure fabric french great high little long looking many paired perfectly quality school sharp shirt sleeve tie times toast uniform wear will",4,0.471
"115",346,"martial art headgear"," black everlast headgear mma"," 117 17157398 575 7420lxl 900 bar black brand cheek chin color comfortable competition dimensions everhide everlast face fit full headgear high inches includes including item leather liner long materials mma model molded padding pounds protect protects provide provides punches set snug synthetic vinyl weight wide will",4,0
"116",348,"lc lauren conrad dresses"," child costume firefighter play role set"," back best big black boy can care chart chief child clean colors content costume creative day detailed displays dressup enjoying ensure features festive fight fire firefighter fit halloween hat helmet hero idea ideal imaginary included includes little made matching material occasions parties play plays polyester positive possible puts ready red refer role save school set shirt size spot traditional varies will words yellow",1,0
"117",358,"thomas the train"," chest storage thomas train"," addition around attached bedroom brightly chest chests cleanup collapsible colored conceals easy fabric features fun handles help ideal inside kids lid lift make move play prominently room storage thomas time toys train will",4,0.4
"118",364,"videogames ps4"," cry edition far limited ps4"," across animals array breathtaking cry day despotic edition exotic far find himalayas king kyrat landscape limited openworld perilous players ps4 regime region selfappointed story struggling using vast vehicles weapons wild will write",4,0
"119",366,"vans backpack"," backpack bags black newsome vans","",4,0
"120",367,"ninja turtle socks"," 5pk assorted highpoint kids show"," 5pk feel highpoint like mutant ninja show socks superhero teenage turtles will",4,0.8
"121",371,"martial art headgear"," deluxefacesaverboxingheadgear ringside"," adjustable buckle chin closure entirely full head lace leather made protects providing range rear strap thoroughly top vision",4,0.471
"122",372,"yoga pants"," capri degree leg pants plus reflex shirred size womens yoga"," active blend contrast cotton detail finish leg lounging made pants perfect reflex shirred spandex stretchy waistband wear yoga",4,0.433
"123",374,"aveeno shampoo"," aveeno conditioner moisturize nourish pack set"," 105ounce areas aveeno back blend bottles bring conditioner damaged dry formulated germ hair includes life moisturize nourish oil protein restoring set shine softness strength targets two wheat",3,1.067
"124",381,"aroma diffuser"," 15l air aroma atomizer diffuser home hot humidifier ionizer purifier ultrasonic","",4,0.471
"125",388,"projector"," carrying case infocus projector"," carrying case easier fits in110a in120a in120sta in2120a infocus interior keeps light mobility padded projector projectors protected protection series soft strong value weight",2,0.471
"126",389,"ecco shoes"," ecco enrico mens shoes sneakers"," classic closure collar ecco eyelets fresh imported laceup leather lowtop mens metal padded rubber simple sneakers sole sporty style upper",4,0
"127",392,"cuisinart coffee maker"," automatic coffeemaker cuisinart cup pink"," 12cup 734 brew coffee coffeemaker controls design dishwasher elegant filters fully heater includes kit measuring paper parts pause plate programmable safe scoop starter techindustrial temperature variable",4,0
"128",393,"fitbit charge"," charge fitbit"," active alarm beat burned caller calories charge climbed computer connected data day delivering display distance done energize fitness goals highperformance lets matter minutes monitor morning motivated night oled realtime right set shows silent sleep smartphone stairs stats stay step steps syncing taken thats throughout time track traveled trends vibrating wirelessly wrist wristband",4,0
"129",396,"eye cream"," cream eye radical revive skincare"," 728892 agechallenged antiaging area boutique circles cream dark depth desrease diminish discoloration enriched eye fourproductsinone gem hydrate ingredients just like multiple multitasking part product proven puffiness reduce sensitive space unstoppable web weeks works wrinkle",4,0
"130",398,"robe"," authentic bath cloth cotton hotel love mom monogrammed robe spa terry turkish"," authentic bathrobe cozy design experience features feel heart hotel just knee length long luxury mom monogrammed pampered patch pockets robe sleeves soft spa style terry two",4,0
"131",399,"watch women fossil"," assorted colors fitness monitor smartwatch watch wellograph"," 126in 152215cm 165ft 210 50m 5atm 685in 9axis accelerometer aluminum backlight battery bluetooth cable case charger connectivity data days display dock energy genuine integrated lcd leather low lowpower magnetic mah materials micro months nato nylon optional records resistance sapphire sensor sensors size stainless steel strap triled usb water wrist",2,0
"132",406,"aqua shoes"," gorun hot pinkaqua skechers ultra womens"," 4mm 8mm acclaimed added aggressive allow barefoot better combination comfort control cushioned cushioning distance drop enhanced even ever fabric front gets goimpulse gorun great heel insole lace lining logo long looking maximum mesh midfoot midsole optional outsole panels promotes provides recovery resagrip resalyte ride rigid running runs sensors shoe shoes side size skechers soft stretch strike superior support terrain traction ultimate ultra unique way wear weight without womens",2,0.943
"133",412,"gucci guilty intense women"," horse patches rideon rider rockin rocking"," ages amazed assembly base batteries beautiful body bridle child classic core cotton detailed ear ears engraving exclusive features foam full fullbody fun handles hear height highback horse inches include included lbs left lightweight little makes mane metal mouth moving patches phrases plush pony press realistic recommended reins required requires rideon rider right rockin rocking saddle says scroll sings sits soft song sounds stirrups sturdy swishing tail talking trim will wood wooden years",1,0
